Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2023-07-19 14:40,P_SX,15951.5,6,191316,-109.44,-0.06,17.28,0.01,-105.72,-0.06,-109.44,-0.22,1
1,Entry short,2023-07-19 14:35,P_S,15943,6,191316,-109.44,-0.06,17.28,0.01,-105.72,-0.06,-109.44,-0.22,1
2,Exit long,2023-07-19 14:45,P_LX,15937.75,4,127598,-100.96,-0.08,21.52,0.02,-98.48,-0.08,-210.4,-0.42,1
2,Entry long,2023-07-19 14:40,P_L,15949.75,4,127598,-100.96,-0.08,21.52,0.02,-98.48,-0.08,-210.4,-0.42,1
3,Exit short,2023-07-19 14:55,P_SX,15955.25,3,95637,-98.22,-0.10,29.64,0.03,-96.36,-0.10,-308.62,-0.62,2
3,Entry short,2023-07-19 14:45,P_S,15939.5,3,95637,-98.22,-0.10,29.64,0.03,-96.36,-0.10,-308.62,-0.62,2
4,Exit short,2023-07-20 14:15,P_SX,15652,1,31373,67.76,0.22,68.38,0.22,-50.12,-0.16,-240.86,-0.48,8
4,Entry short,2023-07-20 13:35,P_S,15686.5,1,31373,67.76,0.22,68.38,0.22,-50.12,-0.16,-240.86,-0.48,8
5,Exit long,2023-07-31 14:20,P_LX,15826.25,1,31712,-60.74,-0.19,1.38,0.00,-60.12,-0.19,-301.6,-0.60,9
5,Entry long,2023-07-31 13:35,P_L,15856,1,31712,-60.74,-0.19,1.38,0.00,-60.12,-0.19,-301.6,-0.60,9
6,Exit long,2023-08-02 13:30,P_LX,15505.75,2,61919,101.52,0.16,102.76,0.17,-29.24,-0.05,-200.08,-0.40,7
6,Entry long,2023-08-02 12:55,P_L,15479.75,2,61919,101.52,0.16,102.76,0.17,-29.24,-0.05,-200.08,-0.40,7
7,Exit short,2023-08-10 14:50,P_SX,15230,1,30407,-54.24,-0.18,34.38,0.11,-53.62,-0.18,-254.32,-0.51,7
7,Entry short,2023-08-10 14:15,P_S,15203.5,1,30407,-54.24,-0.18,34.38,0.11,-53.62,-0.18,-254.32,-0.51,7
8,Exit short,2023-08-22 14:25,P_SX,14968.5,3,89712,-102.72,-0.11,53.64,0.06,-100.86,-0.11,-357.04,-0.71,3
8,Entry short,2023-08-22 14:10,P_S,14952,3,89712,-102.72,-0.11,53.64,0.06,-100.86,-0.11,-357.04,-0.71,3
9,Exit long,2023-08-23 13:15,P_LX,15206.25,3,91126.5,107.28,0.12,109.14,0.12,-16.86,-0.02,-249.76,-0.50,3
9,Entry long,2023-08-23 13:00,P_L,15187.75,3,91126.5,107.28,0.12,109.14,0.12,-16.86,-0.02,-249.76,-0.50,3
10,Exit short,2023-08-23 14:35,P_SX,15197.25,5,152095,116.3,0.08,119.4,0.08,-25.6,-0.02,-133.46,-0.27,2
10,Entry short,2023-08-23 14:25,P_S,15209.5,5,152095,116.3,0.08,119.4,0.08,-25.6,-0.02,-133.46,-0.27,2
11,Exit short,2023-08-23 15:00,P_SX,15192.75,5,152047.5,113.8,0.07,116.9,0.08,-10.6,-0.01,-19.66,-0.04,1
11,Entry short,2023-08-23 14:55,P_S,15204.75,5,152047.5,113.8,0.07,116.9,0.08,-10.6,-0.01,-19.66,-0.04,1
12,Exit long,2023-08-24 14:15,P_LX,14977.25,1,30006,-52.74,-0.18,0.38,0.00,-52.12,-0.17,-72.4,-0.14,1
12,Entry long,2023-08-24 14:10,P_L,15003,1,30006,-52.74,-0.18,0.38,0.00,-52.12,-0.17,-72.4,-0.14,1
13,Exit long,2023-08-29 14:35,P_LX,15403,2,61513,96.52,0.16,97.76,0.16,-13.24,-0.02,24.12,0.05,7
13,Entry long,2023-08-29 14:00,P_L,15378.25,2,61513,96.52,0.16,97.76,0.16,-13.24,-0.02,24.12,0.05,7
14,Exit short,2023-09-01 10:30,P_SX,15546.25,2,62289,101.52,0.16,102.76,0.16,-52.24,-0.08,125.64,0.25,2
14,Entry short,2023-09-01 10:20,P_S,15572.25,2,62289,101.52,0.16,102.76,0.16,-52.24,-0.08,125.64,0.25,2
15,Exit short,2023-09-01 12:50,P_SX,15511.5,2,61951,-97.48,-0.16,36.76,0.06,-96.24,-0.16,28.16,0.06,3
15,Entry short,2023-09-01 12:35,P_S,15487.75,2,61951,-97.48,-0.16,36.76,0.06,-96.24,-0.16,28.16,0.06,3
16,Exit short,2023-09-04 12:55,P_SX,15532,8,248404,-117.92,-0.05,43.04,0.02,-112.96,-0.05,-89.76,-0.18,1
16,Entry short,2023-09-04 12:50,P_S,15525.25,8,248404,-117.92,-0.05,43.04,0.02,-112.96,-0.05,-89.76,-0.18,1
17,Exit short,2023-09-08 10:55,P_SX,15301.75,2,61313,103.52,0.17,104.76,0.17,-41.24,-0.07,13.76,0.03,1
17,Entry short,2023-09-08 10:50,P_S,15328.25,2,61313,103.52,0.17,104.76,0.17,-41.24,-0.07,13.76,0.03,1
18,Exit short,2023-09-19 12:05,P_SX,15261.25,3,91678.5,107.28,0.12,109.14,0.12,-87.36,-0.10,121.04,0.24,5
18,Entry short,2023-09-19 11:40,P_S,15279.75,3,91678.5,107.28,0.12,109.14,0.12,-87.36,-0.10,121.04,0.24,5
19,Exit long,2023-09-19 12:30,P_LX,15280.75,20,611350,-144.8,-0.02,77.6,0.01,-132.4,-0.02,-23.76,-0.05,1
19,Entry long,2023-09-19 12:25,P_L,15283.75,20,611350,-144.8,-0.02,77.6,0.01,-132.4,-0.02,-23.76,-0.05,1
20,Exit short,2023-09-19 12:45,P_SX,15266.75,4,122240,101.04,0.08,103.52,0.08,-40.48,-0.03,77.28,0.15,3
20,Entry short,2023-09-19 12:30,P_S,15280,4,122240,101.04,0.08,103.52,0.08,-40.48,-0.03,77.28,0.15,3
21,Exit long,2023-09-21 10:35,P_LX,14984.75,4,119756,117.04,0.10,119.52,0.10,-22.48,-0.02,194.32,0.39,1
21,Entry long,2023-09-21 10:30,P_L,14969.5,4,119756,117.04,0.10,119.52,0.10,-22.48,-0.02,194.32,0.39,1
22,Exit long,2023-10-04 13:10,P_LX,14859.75,3,89245.5,-90.72,-0.10,19.14,0.02,-88.86,-0.10,103.6,0.21,1
22,Entry long,2023-10-04 13:05,P_L,14874.25,3,89245.5,-90.72,-0.10,19.14,0.02,-88.86,-0.10,103.6,0.21,1
23,Exit long,2023-10-04 13:20,P_LX,14859,6,178407,-106.44,-0.06,86.28,0.05,-102.72,-0.06,-2.84,-0.01,1
23,Entry long,2023-10-04 13:15,P_L,14867.25,6,178407,-106.44,-0.06,86.28,0.05,-102.72,-0.06,-2.84,-0.01,1
24,Exit short,2023-10-04 13:30,P_SX,14823.25,2,59411,115.52,0.19,116.76,0.20,-6.24,-0.01,112.68,0.23,2
24,Entry short,2023-10-04 13:20,P_S,14852.75,2,59411,115.52,0.19,116.76,0.20,-6.24,-0.01,112.68,0.23,2
25,Exit long,2023-10-05 12:30,P_LX,14824.75,1,29578,70.26,0.24,70.88,0.24,-6.12,-0.02,182.94,0.37,6
25,Entry long,2023-10-05 12:00,P_L,14789,1,29578,70.26,0.24,70.88,0.24,-6.12,-0.02,182.94,0.37,6
26,Exit long,2023-10-12 11:20,P_LX,15462.75,1,30852.5,71.76,0.23,72.38,0.23,-53.12,-0.17,254.7,0.51,7
26,Entry long,2023-10-12 10:45,P_L,15426.25,1,30852.5,71.76,0.23,72.38,0.23,-53.12,-0.17,254.7,0.51,7
27,Exit long,2023-10-12 12:20,P_LX,15465.25,2,61752,106.52,0.17,107.76,0.17,-43.24,-0.07,361.22,0.72,6
27,Entry long,2023-10-12 11:50,P_L,15438,2,61752,106.52,0.17,107.76,0.17,-43.24,-0.07,361.22,0.72,6
28,Exit long,2023-10-16 12:00,P_LX,15264.75,2,61149,-92.48,-0.15,16.76,0.03,-91.24,-0.15,268.74,0.54,3
28,Entry long,2023-10-16 11:45,P_L,15287.25,2,61149,-92.48,-0.15,16.76,0.03,-91.24,-0.15,268.74,0.54,3
29,Exit short,2023-10-16 12:20,P_SX,15283,2,61052,-82.48,-0.14,5.76,0.01,-81.24,-0.13,186.26,0.37,2
29,Entry short,2023-10-16 12:10,P_S,15263,2,61052,-82.48,-0.14,5.76,0.01,-81.24,-0.13,186.26,0.37,2
30,Exit short,2023-10-17 13:30,P_SX,15244.75,3,91576.5,104.28,0.11,106.14,0.12,-87.36,-0.10,290.54,0.58,4
30,Entry short,2023-10-17 13:10,P_S,15262.75,3,91576.5,104.28,0.11,106.14,0.12,-87.36,-0.10,290.54,0.58,4
31,Exit short,2023-10-17 14:50,P_SX,15202.75,2,60902,88.52,0.15,89.76,0.15,-64.24,-0.11,379.06,0.76,2
31,Entry short,2023-10-17 14:40,P_S,15225.5,2,60902,88.52,0.15,89.76,0.15,-64.24,-0.11,379.06,0.76,2
32,Exit short,2023-10-20 12:35,P_SX,14739.25,1,29421.5,-58.24,-0.20,46.88,0.16,-57.62,-0.20,320.82,0.64,7
32,Entry short,2023-10-20 12:00,P_S,14710.75,1,29421.5,-58.24,-0.20,46.88,0.16,-57.62,-0.20,320.82,0.64,7
33,Exit long,2023-10-27 10:35,P_LX,14308.25,2,57325,-94.48,-0.16,109.76,0.19,-93.24,-0.16,226.34,0.45,3
33,Entry long,2023-10-27 10:20,P_L,14331.25,2,57325,-94.48,-0.16,109.76,0.19,-93.24,-0.16,226.34,0.45,3
34,Exit long,2023-10-27 12:25,P_LX,14343.75,2,57474,-101.48,-0.18,14.76,0.03,-100.24,-0.17,124.86,0.25,2
34,Entry long,2023-10-27 12:15,P_L,14368.5,2,57474,-101.48,-0.18,14.76,0.03,-100.24,-0.17,124.86,0.25,2
35,Exit long,2023-11-03 11:30,P_LX,15123,1,30179.5,65.26,0.22,65.88,0.22,-40.12,-0.13,190.12,0.38,11
