Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2026-03-26 12:15,L-X,24050.5,10,481015,-17.4,0.00,1523.8,0.32,-11.2,0.00,-17.4,-0.03,9
1,Entry long,2026-03-26 11:30,Long,24050.75,10,481015,-17.4,0.00,1523.8,0.32,-11.2,0.00,-17.4,-0.03,9
2,Exit long,2026-03-27 12:40,L-X,23453.25,11,515977,-19.14,0.00,15.18,0.00,-61.82,-0.01,-36.54,-0.07,1
2,Entry long,2026-03-27 12:35,Long,23453.5,11,515977,-19.14,0.00,15.18,0.00,-61.82,-0.01,-36.54,-0.07,1
3,Exit short,2026-03-31 12:35,S-X,23590.75,16,754504,-419.84,-0.06,0,0.00,-409.92,-0.05,-456.38,-0.91,0
3,Entry short,2026-03-31 12:35,Short,23578.25,16,754504,-419.84,-0.06,0,0.00,-409.92,-0.05,-456.38,-0.91,0
4,Exit short,2026-04-02 10:05,S-X,23923.75,14,669473,-409.36,-0.06,0,0.00,-400.68,-0.06,-865.74,-1.73,0
4,Entry short,2026-04-02 10:05,Short,23909.75,14,669473,-409.36,-0.06,0,0.00,-400.68,-0.06,-865.74,-1.73,0
5,Exit long,2026-04-10 11:55,L-X,25277.75,17,859452,-29.58,0.00,57.46,0.01,-78.54,-0.01,-895.32,-1.79,1
5,Entry long,2026-04-10 11:50,Long,25278,17,859452,-29.58,0.00,57.46,0.01,-78.54,-0.01,-895.32,-1.79,1
6,Exit short,2026-04-16 11:35,S-X,26506.75,11,582769,-393.14,-0.07,0,0.00,-386.32,-0.07,-1288.46,-2.58,0
6,Entry short,2026-04-16 11:35,Short,26489.5,11,582769,-393.14,-0.07,0,0.00,-386.32,-0.07,-1288.46,-2.58,0
7,Exit short,2026-04-21 10:05,S-X,26856,11,590447,-398.64,-0.07,0,0.00,-391.82,-0.07,-1687.1,-3.37,0
7,Entry short,2026-04-21 10:05,Short,26838.5,11,590447,-398.64,-0.07,0,0.00,-391.82,-0.07,-1687.1,-3.37,0
8,Exit long,2026-04-28 11:30,L-X,27022.75,10,540560,-117.4,-0.02,0,0.00,-286.2,-0.05,-1804.5,-3.61,0
8,Entry long,2026-04-28 11:30,Long,27028,10,540560,-117.4,-0.02,0,0.00,-286.2,-0.05,-1804.5,-3.61,0
9,Exit short,2026-04-30 11:25,S-X,27404.25,15,822120,-26.1,0.00,815.7,0.10,-189.3,-0.02,-1830.6,-3.66,2
9,Entry short,2026-04-30 11:15,Short,27404,15,822120,-26.1,0.00,815.7,0.10,-189.3,-0.02,-1830.6,-3.66,2
