Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2026-05-21 11:30,S-X,29192.5,16,936104,1924.16,0.21,1934.08,0.21,-97.92,-0.01,1924.16,3.85,1
1,Entry short,2026-05-21 11:25,Short,29253.25,16,936104,1924.16,0.21,1934.08,0.21,-97.92,-0.01,1924.16,3.85,1
2,Exit short,2026-05-26 10:10,S-X,30006.25,12,720144,-20.88,0.00,472.56,0.07,-115.44,-0.02,1903.28,3.81,1
2,Entry short,2026-05-26 10:05,Short,30006,12,720144,-20.88,0.00,472.56,0.07,-115.44,-0.02,1903.28,3.81,1
3,Exit short,2026-05-29 10:15,S-X,30420.75,10,610365,1937.6,0.32,1943.8,0.32,-46.2,-0.01,3840.88,7.68,2
3,Entry short,2026-05-29 10:05,Short,30518.25,10,610365,1937.6,0.32,1943.8,0.32,-46.2,-0.01,3840.88,7.68,2
4,Exit long,2026-06-05 10:10,L-X,29862.5,11,655022.5,1938.86,0.30,1945.68,0.30,-265.32,-0.04,5779.74,11.56,1
4,Entry long,2026-06-05 10:05,Long,29773.75,11,655022.5,1938.86,0.30,1945.68,0.30,-265.32,-0.04,5779.74,11.56,1
5,Exit short,2026-06-10 10:20,S-X,29169.25,11,641333,-404.14,-0.06,0,0.00,-397.32,-0.06,5375.6,10.75,0
5,Entry short,2026-06-10 10:20,Short,29151.5,11,641333,-404.14,-0.06,0,0.00,-397.32,-0.06,5375.6,10.75,0
6,Exit long,2026-06-17 10:45,L-X,30317.5,12,728010,-404.88,-0.06,0,0.00,-397.44,-0.05,4970.72,9.94,0
6,Entry long,2026-06-17 10:45,Long,30333.75,12,728010,-404.88,-0.06,0,0.00,-397.44,-0.05,4970.72,9.94,0
7,Exit long,2026-07-01 12:50,L-X,30209.5,16,966712,-27.84,0.00,630.08,0.07,-217.92,-0.02,4942.88,9.89,1
7,Entry long,2026-07-01 12:45,Long,30209.75,16,966712,-27.84,0.00,630.08,0.07,-217.92,-0.02,4942.88,9.89,1
8,Exit long,2026-07-08 11:10,L-X,29149,15,874867.5,-416.1,-0.05,0,0.00,-406.8,-0.05,4526.78,9.05,0
8,Entry long,2026-07-08 11:10,Long,29162.25,15,874867.5,-416.1,-0.05,0,0.00,-406.8,-0.05,4526.78,9.05,0
